I
600 Version - Fixes for ZUTF

30.489555556 104.457333333 TT401
30.689027778 104.632638889 TT402
30.863444444 104.786638889 TT403
31.005611111 104.912722222 TT404
30.477527778 104.561277778 TT409
30.319833333 104.458277778 TT410
30.766527778 104.991555556 TT413
30.296027778 104.270000000 TT420
30.045583333 104.329666667 TT422
30.086972222 104.533666667 TT426
30.260027778 104.615194444 TT427
30.629777778 104.790416667 TT428
30.201972222 104.340305556 TT431
30.090638889 104.243361111 TT432
30.397833333 104.319666667 TT436
30.700666667 104.474222222 TT438
30.188083333 104.816916667 TT461
30.022333333 104.845055556 TT462
29.946666667 104.857888889 TT463
30.285138889 104.544583333 TT465
30.004722222 104.444861111 TT467
30.369055556 104.381583333 TT468
30.067722222 104.313138889 TT503
29.984166667 104.274111111 TT504
29.900583333 104.235138889 TT505
29.817000000 104.196250000 TT506
29.733388889 104.157388889 TT507
30.559666667 104.544361111 TT513
30.643138889 104.583861111 TT514
30.726611111 104.623416667 TT515
30.810083333 104.663027778 TT516
30.059555556 104.336194444 TT613
29.976000000 104.297138889 TT614
29.892444444 104.258166667 TT615
29.808861111 104.219250000 TT616
29.725250000 104.180388889 TT617
30.551444444 104.567527778 TT623
30.634944444 104.607027778 TT624
30.718388889 104.646611111 TT625
30.801861111 104.686250000 TT626
30.277138889 104.567111111 TT701
30.106111111 104.486638889 TT702
30.020472222 104.446472222 TT703
29.853416667 104.368277778 TT705
29.686305556 104.290333333 TT707
30.054861111 104.630638889 TT712
29.969277778 104.590361111 TT713
29.772333333 104.497916667 TT715
30.512194444 104.678222222 TT723
30.595638889 104.717805556 TT724
30.762500000 104.797166667 TT726
30.377333333 104.783111111 TT731
30.460750000 104.822722222 TT733
30.710916667 104.941972222 TT736
30.300138889 104.788611111 TT801
30.316888889 104.952111111 TT802
30.380833333 105.045916667 TT803
30.485750000 105.200277778 TT804
31.075805556 105.214111111 TT810
29.469222222 104.665500000 TT821
29.469722222 104.354916667 TT822
29.774277778 104.601722222 TT823
30.093416667 104.679083333 TT824
30.225805556 104.711333333 TT825
30.329500000 104.306916667 TT902
30.106694444 104.202777778 TT903
30.023111111 104.163805556 TT904
29.939500000 104.124916667 TT905
30.431750000 104.354944444 TT921
30.515277778 104.394222222 TT922
30.598805556 104.433555556 TT923
30.849333333 104.551972222 TT926
30.833500000 105.416722222 UBRAB
30.290416667 104.341027778 UT811
30.379222222 104.531361111 UT812
30.418611111 104.913194444 UT813
30.620166667 105.126111111 UT816
30.463916667 104.177138889 UU427
30.522222222 103.724444444 UU901

30.496666667 105.313333333 AKOPI
29.503333333 105.023333333 ATVAX
31.768333333 104.350000000 BOKIR
31.421666667 105.290000000 BUPMI
29.310000000 104.600000000 ELDUD
29.271666667 104.261666667 IGNAK
30.608333333 103.016666667 LADUP
29.390000000 104.033333333 LUVEN
31.780000000 104.638333333 MEXAD
30.806666667 103.016666667 MUMGO
30.686666667 103.241666667 NONOV
31.055000000 105.418333333 SAGPI
28.395555556 103.631944444 IPNAG

99
